dimension,consensus,notable_disagreements_or_outliers,implementation_decision_for_cognitive_os
memory_architecture,"All models separate bounded working memory from episodic, semantic, and procedural memory, and all require provenance.","Gemini emphasizes cold-storage tiering; Qwen frames context as an L1 cache; Perplexity emphasizes freshness and source quality as typed fields.","Use `modules/memory/` for typed stores, keep event provenance first, and promote semantic/procedural records only through evidence-linked consolidation."
reasoning_planning_loop,"Models converge on observe-plan-verify-act-reflect loops where LLMs propose plans but do not execute them directly.","Qwen proposes constrained MCTS; Cohere proposes HTN/MCTS-style planning; DeepSeek stresses cheaper checks before expensive planning.","Start with deterministic typed plan objects and verifier feedback in `core/orchestration/planner_runtime.py`, then add optional search only where it improves measured outcomes."
learning_self_improvement,"No model recommends unconstrained online weight updates. Learning should modify procedures, prompts, route policy, memory, and verifier predicates through offline gates.","Qwen mentions optional offline LoRA adapters; Mistral emphasizes sovereign/local learning; DeepSeek emphasizes cost-aware updates.","Use `core/runtime/failure_learning.py`, `core/runtime/end_to_end_learning.py`, and `modules/memory/promotion_rules.py` for shadow-mode change packets with rollback."
tool_use_action_execution,"Every model requires capability-scoped tools, sandboxing, preconditions, postconditions, and side-effect records.","Qwen suggests macaroon-like tokens; Grok suggests signed leases; Cohere compares side effects to financial transactions.","Route actions through `core/orchestration/verifier_runtime.py`, `core/orchestration/execution_control.py`, and `tools/managed_vm/` before external mutation."
world_model_representation,"All models want typed entity/world state separate from raw memory, with evidence links and forecast/outcome deltas.","Qwen and Cohere favor early causal/Bayesian models; Perplexity prioritizes source freshness; Gemini emphasizes temporal reconciliation.","Begin with `core/world_model/` and `modules/world_model/` typed entities plus observed deltas; introduce causal graphs only for domains with testable forecasts."
safety_governance_layer,"Governance is a runtime service with policies, refusals, escalations, human controls, and audit records.","Qwen names OPA/Rego; Grok proposes retrievable policy precedents; Mistral stresses local/private governance.","Use `modules/governance/gate.py`, `modules/governance/object_store.py`, and `core/orchestration/governance_runtime.py` as the first enforcement surfaces."
evaluation_benchmark_strategy,"Models agree on unit tests, integration replay, red teams, soak tests, and regression gates before learning promotion.","Perplexity adds source freshness/retrieval-quality evals; DeepSeek adds cost/latency as safety metrics.","Extend existing `runtime/evals/` and soak runners with action replay, verifier bypass tests, and memory-promotion regression cases."
persistence_runtime_architecture,"All models treat append-only events and materialized state as the safety backbone.","Qwen proposes distributed queues and RocksDB; Gemini proposes SQLite/pgvector; Grok wants signed logs.","Start local and inspectable with `core/runtime/event_journal.py`, `core/runtime/evidence_ledger.py`, and `core/runtime/state_store.py`; defer distributed infrastructure."
multi_agent_orchestration,"Models prefer specialist roles coordinated through shared state rather than hidden shared chat.","Some outputs recommend voting/consensus for high-impact decisions; others favor a single orchestrator with critics/verifiers.","Use planner, critic, verifier, executor, and curator roles, but reserve consensus for high-impact decisions to avoid latency inflation."
engineering_feasibility,"All models can map to a 90-day local-first prototype if dependencies stay modest and AGI claims are avoided.","Qwen/Cohere are most ambitious; DeepSeek/Mistral are most cost/privacy constrained.","Prototype ledger/state, governed action path, and memory promotion first; add causal/search machinery only after verifier and replay foundations are stable."
original_non_obvious_insight,"The strongest shared non-obvious idea is that the LLM context window is a cache over a governed cognitive transaction system.","Individual emphases differ: uncertainty as runtime object, governance precedent as evidence, efficiency as safety, and freshness as typed memory metadata.","Make beliefs, plans, permissions, actions, and learning updates lifecycle-managed objects with provenance and rollback."
