model_family,model_id,memory_architecture,reasoning_planning_loop,learning_self_improvement,tool_use_action_execution,world_model_representation,safety_governance_layer,evaluation_benchmark_strategy,persistence_runtime_architecture,multi_agent_orchestration,engineering_feasibility,original_non_obvious_insight
OpenAI GPT,openai/gpt-5.4-mini,"Versioned working scratchpad, append-only episodic journal, semantic/procedural records with provenance, hybrid keyword/vector/graph retrieval, evidence-backed consolidation and explicit retention classes.","LLM as proposal engine inside a governed control loop: candidate plans, uncertainty flags, verifier gates, reflection, and replanning after observed outcome deltas.","Promote verified episodes into stable memory, update procedures only after batch consolidation, keep model weights out of the action path, and gate changes with evals and rollback.","Typed local adapters, permissioned actions, precondition/postcondition checks, managed execution boundary, and durable side-effect logging before external mutation.","Typed entities with provenance, causal links, forecasts, stale-memory flags, and explicit separation between observed evidence and inferred state.","Policy engine plus refusal/escalation records, human controls, capability boundaries, immutable audit trail, and sensitive-memory retention limits.","Unit and integration gates around memory, planner, policy, tool calls, regression suites, red-team prompts, and long-running recovery/soak scenarios.","Event journal as source of truth, state snapshots/materialized views, runtime modes, background consolidation, and crash recovery through replay.","Specialized proposer, critic, verifier, executor, and monitor roles coordinated through shared evidence and arbitration rather than unconstrained debate.",High feasibility as an incremental control-plane architecture; highest risk is writing useful verifiers and keeping memory consolidation precise.,"Treat intent, evidence, world state, policy, and execution as separately versioned objects so model upgrades do not destabilize governance."
Claude,anthropic/claude-sonnet-4.6,"Event-sourced memory with provenance-first entries, consolidation through contradiction checks, and memory accesses mediated by policy and evidence quality.","Structured observe-orient-decide-act cycle with explicit hypothesis formation, verification checkpoints, uncertainty handling, and interruptible plans.","Only bounded update surfaces are allowed: memory summaries, planner heuristics, route policies, and procedures; every candidate change enters shadow mode before promotion.","Tools are narrow capabilities with dry-run support, approval requirements, verifier gates, and compensating-action records for reversible work.","World/self state is typed and belief-weighted, with forecasts tied to evidence and observed outcome feedback.","Governance is a first-class runtime service: policy checks, audit records, human escalation, refusal logic, and capability leases.","Layered evaluation: deterministic unit tests, scenario replay, safety red teams, regression gates, and long-run soak for drift and recovery.","Append-only event log, state store, checkpoints, leases, runtime modes, and recovery flow that rehydrates exact pre-crash state.","Planner, executor, verifier, critic, and memory curator roles with policy-constrained context sharing and arbitration.",Feasible in 90 days if scoped to a local-first prototype over existing Cognitive-OS modules and not framed as achieved AGI.,"Make uncertainty a runtime object with escalation thresholds, not a prose caveat inside model output."
Gemini,google/gemini-3.1-pro-preview,"Sliding working buffer, SQLite/pgvector episodic log, semantic graph/procedural AST library, sleep-mode consolidation, and cold-storage tiering instead of destructive deletion.","Asynchronous OODA-style state machine with hypothesis testing, plan generation, reflection, confidence scores, and priority interrupts.","Local-first learning from logged outcomes, with model/prompt/procedure updates tested in shadow environments before release.",LLMs remain stateless; managed VM adapters and verifier gates mediate all real-world actions.,Entity graph plus causal dependencies and temporal state reconciliation from external sensors or APIs.,"Deterministic policy checks, audit logs, managed-VM boundaries, and escalation when confidence or policy constraints fail.","Regression gates, simulated environments, red-team prompts, long-run soak, and recovery replay.","Append-only evidence ledger, state-machine transitions, durable state snapshots, and crash-resilient recovery.","Multiple specialized loops coordinate through a shared evidence ledger, not shared hidden context.",Strong for a local-first prototype; main risk is keeping state reconciliation deterministic as tools expand.,Use cold-storage tiering as forgetting so the active retrieval index stays fast without losing auditability.
Grok,x-ai/grok-4.3,"Fixed-size working ring buffer, append-only episodic traces with hashes, typed semantic/procedural graph, hybrid retrieval, and priority-queue forgetting.","Discrete ticks expand hypotheses, score evidence, plan typed actions, reflect on predicted vs observed deltas, and pause on uncertainty intervals.","Only semantic graph, procedure library, policy rules, and verifier predicates can change; changes are offline, signed, eval-gated, and replayable.","Managed-VM adapters, scoped capability tokens, static/dynamic/policy verifier sequence, and ledger-flush-before-action discipline.","Versioned entity records, causal dependency graphs with probability intervals, forecast simulation, and lease-bound state sync.","Logic-program policy engine, signed human leases, refusal/escalation traces, and hard enforcement at adapter boundaries.","Unit tests for verifiers and policies, integration replay, adversarial goal sets, 72-hour soak, and regression gates.","Signed event log, materialized state store, monotonic leases, interactive/batch/soak modes, and bounded replay recovery.","Planner, executor, verifier, and monitor roles share a blackboard; verifier signatures settle evidence.","Feasible with SQLite, VM isolation, and typed adapters; risk is deterministic verifier coverage for rich LLM outputs.",Store governance decisions as evidence records so historical policy precedents become retrievable planning context.
DeepSeek,deepseek/deepseek-v3.2,"Cost-aware tiered memory with compact working state, searchable episodes, distilled procedures, and periodic consolidation to reduce repeated reasoning.","Efficient planning loop emphasizes decomposition, tool routing, verification, and low-cost reflection before using expensive model calls.","Offline preference and procedure learning from successful traces, with eval-gated rollout and strict rollback of route/prompt/procedure changes.","Structured tool calls, sandbox resource limits, deterministic validators, and side-effect accounting.",Typed state plus causal/forecast metadata optimized for cheap retrieval and update.,"Governance is enforced through route policy, permission gates, and automated checks before model or tool escalation.","Cost and latency metrics are first-class alongside correctness, safety, and regression scores.","Event log and state snapshots designed for replay, compression, and cheap local operation.",Use small specialist agents for routine evaluation and reserve larger models for disputed/high-uncertainty tasks.,High if the first prototype uses small local/router models for verification and reserves larger calls for synthesis.,Efficiency is a safety feature: cheap checks are more likely to run every time.
Qwen,qwen/qwen3.7-max,"Context window as L1 cache over episodic log, semantic graph, procedural DAGs, TTL markers, and hybrid retrieval under access controls.","Constrained MCTS-like plan tree emitting typed JSON plans with preconditions, postconditions, reflection, and uncertainty-triggered information gathering.","Allowed surfaces are prompt templates, tool-routing weights, procedural DAG parameters, and offline LoRA adapters promoted only after shadow evals.","gVisor/Firecracker isolation, macaroon-like capability tokens, pre/post verifiers, output classifiers, and Merkle side-effect ledger.","Strongly typed entities, dynamic Bayesian network edges, simulation-based forecasts, and CRDT-style state sync.","OPA/Rego-style policy engine, break-glass controls, immutable audit stream, escalation tickets, and hard air-gaps around governance code.","Unit, integration, fuzz/red-team, 30-day soak, and CI regression suite for 500 canonical agent tasks.","Redpanda/RocksDB style event and state layers, advisory locks, shadow/supervised/autonomous modes, checkpoint and replay recovery.","Role-scoped agents with orchestrator routing, voting for high-stakes decisions, and serialized conflict resolution.",Ambitious but concrete; prototype should simplify dependencies to SQLite/local queues before Redpanda/RocksDB scale-out.,"Treat LLM context as cache, not mind; cognitive memory management is the product boundary."
Llama,meta-llama/llama-4-maverick,"Open/local memory stack emphasizing transparent schemas, vector and graph retrieval, periodic summarization, and portable procedure libraries.",Planner decomposes work into explicit tasks and uses critique/evaluation loops before execution.,"Open-weight/local-friendly design favors adapter tuning, replay data, and reproducible benchmark gates.","Typed tool APIs, least-privilege permissions, deterministic validators, and local sandbox execution.",Entity graph and state snapshots suitable for local inspection and open-source contribution workflows.,"Transparency, reproducible policies, auditability, and community-inspectable boundaries are emphasized.","Local benchmark harnesses, regression suites, reproducible seeds, and scenario tests.",Portable state store and event log designed to run offline and be inspected by developers.,Specialized local agents with explicit role/context boundaries.,Strong for a community prototype because dependencies can remain local and inspectable.,Openness is an operational safety primitive because users can inspect and reproduce the control plane.
Mistral,mistralai/mistral-large-2512,"Privacy-preserving local-first memory with short-lived working state, encrypted episodic logs, validated semantic memory, and compact procedure traces.","Lean orchestration loop: generate, critique, verify, execute, and measure, with route policies for cost and latency.","Sovereign/offline learning, small adapter updates, policy-controlled promotion, and rollback through versioned artifacts.","Capability-limited tools, sandboxing, local policy checks, and strong separation between planning and execution.",Local entity model with evidence links and forecasts built from verified observations.,"Data minimization, local governance, audit logs, and operator controls are central.","Latency, privacy, reproducibility, safety, and regression benchmarks.","Local encrypted event/state layers, runtime modes, and compact recovery checkpoints.",Small role agents coordinated by a supervisor with route and budget constraints.,High for an enterprise/local-first MVP; risk is balancing privacy constraints with useful learning.,Sovereignty and efficiency can be design constraints rather than afterthoughts; smaller governed models may be preferable for routine control.
Perplexity Sonar,perplexity/sonar-pro,"Evidence-centric memory with source links, citation-like provenance, retrieval confidence, and freshness scoring.","Research-first loop: gather evidence, compare hypotheses, cite provenance, plan, verify, and update forecasts.","Self-improvement is gated by source quality, benchmark evidence, and reviewable change packets.","External actions require source-backed justification, sandboxing, and audit records.","World model emphasizes currentness, provenance, source reconciliation, and contradiction detection.","Governance focuses on evidence quality, escalation on weak/conflicting sources, and auditability of citations and tool effects.","Benchmarks include factuality, source freshness, retrieval quality, plan outcomes, and safety regressions.",Event log plus source/evidence graph with stale-source invalidation and recovery replay.,"Researcher, fact-checker, planner, executor, and auditor roles.",Useful as a retrieval/evidence module in the first prototype rather than the whole control plane.,"Freshness and provenance should be typed fields in memory, not comments in a summary."
Cohere Command,cohere/command-a,"Differentiated working, episodic, semantic, and procedural stores with vector/symbolic retrieval and replay-based consolidation.","HTN-like planner with evidence weighting, MCTS-style action search, Bayesian uncertainty, and replanning interrupts.","Confine updates to memory, planner heuristics, and action templates; use sandboxed batch learning, shadow runtime, and rollback.","Managed VMs, capability permissions, verifier gates, and blockchain-inspired side-effect ledger.",Causal graph of typed entities with structural causal models and probabilistic forecasts.,"Rule engine, operator pause/redirect/terminate controls, refusal/escalation, audit logs, and domain capability boundaries.","Unit, integration, red-team, soak, and regression gates.","Append-only event log, checkpointed state, runtime recovery, and debug replay.",Coordinator with specialist agents and consensus/conflict handling for high-impact decisions.,Feasible if MCTS/SCM pieces start simple and become optional plugins.,A side-effect ledger gives action execution the same inspectability as financial transaction systems.
